comment,sadness,anger,confident,analytical
 intratext editions of codes of canon law with referenced concordances  of -> by,0.0,0.0,0.0,0.620279
 intratext editions of codes of canon law with referenced concordances  of -> by,0.0,0.0,0.543112,0.0
 graham montague  montagues first name is non-canon as implied at the end of the article.,0.0,0.0,0.0,0.802757
remember the buzzy cartoons from the famous studios canon?,0.0,0.0,0.0,0.724236
 4th division  rm part about iemura; not canon,0.0,0.0,0.0,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
 present day  correct what it says about canon sensors,0.0,0.0,0.0,0.0
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
whine about canon elsewhere,0.0,0.0,0.0,0.0
 new jedi order  clarification of canon,0.0,0.0,0.0,0.961871
 canon law  this is latin so it is italicized,0.0,0.0,0.660207,0.0
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
movie says freeza was killed on namek and is about the saiyan who fought freeza there. since its out of canon thats what were stuck with,0.0,0.526567,0.0,0.0
movie says freeza was killed on namek and is about the saiyan who fought freeza there. since its out of canon thats what were stuck with,0.0,0.0,0.0,0.0
not confirmed in the canon of the series.,0.0,0.0,0.0,0.920855
 c. warrington<!-- please do not change the c. to cassius. there is no cassius in canon and thus it is not his first name. this is a fan-inspired first name. thanks fbv65edel--> ,0.0,0.0,0.0,0.0
 c. warrington<!-- please do not change the c. to cassius. there is no cassius in canon and thus it is not his first name. this is a fan-inspired first name. thanks fbv65edel--> ,0.0,0.0,0.0,0.566171
reverted last edit - group has not been mentioned in canon yet so still a spoiler,0.0,0.513355,0.0,0.0
reverted edits by [[user:|]] to last version by klsymph; non-canon information removed,0.0,0.0,0.0,0.620279
moved [[john merrick (buffyverse character)]] to [[merrick (buffyverse character)]]: john not found amongst any canon,0.0,0.0,0.0,0.0
moved [[john merrick (buffyverse character)]] to [[merrick (buffyverse character)]]: john not found amongst any canon,0.0,0.0,0.0,0.635197
 overview  restoring info about cycle of canon rearrange section,0.0,0.0,0.0,0.901894
 overview  restoring info about cycle of canon rearrange section,0.0,0.0,0.0,0.0
corrected spelling of commitment in canon 604 quotation.,0.0,0.0,0.704642,0.0
it being debatable is your opinion. it being non-canon is a fact which was concluded by other facts. it being debatable was concluded by your urge to be right and your urge to prove me wrong.,0.0,0.0,0.0,0.995239
 compared to something that mccoy isnt  bones never said dammit jim at any point in the series and only said it once in one of the movies. its a case of fanon replacing canon.,0.0,0.593031,0.0,0.0
 compared to something that mccoy isnt  bones never said dammit jim at any point in the series and only said it once in one of the movies. its a case of fanon replacing canon.,0.0,0.0,0.0,0.0
rv the intro was stated to just be a mood setter and not depicting actual canon events,0.0,0.0,0.0,0.743104
rv the intro was stated to just be a mood setter and not depicting actual canon events,0.0,0.0,0.0,0.0
revert: incident in question was a qow guest strip (presumably non-canon),0.0,0.0,0.0,0.905748
we arent using that image. it may be fox but its not a canon design of him. best use the command image.,0.0,0.0,0.0,0.0
we arent using that image. it may be fox but its not a canon design of him. best use the command image.,0.0,0.0,0.0,0.81401
we arent using that image. it may be fox but its not a canon design of him. best use the command image.,0.0,0.0,0.0,0.0
 business  added cite from canon inc website on true origin of name.,0.0,0.0,0.543112,0.0
animes are not canon,0.0,0.507753,0.0,0.0
removed non canon speculation and cleaned up,0.0,0.0,0.0,0.0
 prime  correct link to [[canon ef 135mm f/2 l usm lens]],0.0,0.0,0.0,0.620279
 prime  correct link to [[canon ef 135mm f/2 l usm lens]],0.0,0.0,0.543112,0.0
new chicago - new is not canon; same chicago.,0.0,0.0,0.0,0.0
this and all novels should be treated as canon unless on certain points the novel is contradicted by the games. on these single points canon is given to the games but the rest of the novel is canon.,0.0,0.0,0.0,0.759314
this and all novels should be treated as canon unless on certain points the novel is contradicted by the games. on these single points canon is given to the games but the rest of the novel is canon.,0.0,0.0,0.937689,0.0
which still renders him a canon part of this storyline. also as of now the consensus seems to be three for one against. refer to the talk page before reverting again please.,0.0,0.57446,0.0,0.0
which still renders him a canon part of this storyline. also as of now the consensus seems to be three for one against. refer to the talk page before reverting again please.,0.0,0.0,0.0,0.0
when compared to attire for non-platforming levels in the main canon the cttr costume placements seem out of place.,0.0,0.0,0.0,0.0
when compared to attire for non-platforming levels in the main canon the cttr costume placements seem out of place.,0.0,0.0,0.0,0.842108
 pachelbels canon in popular culture  added link to zox,0.0,0.0,0.0,0.724236
 canon or not? ,0.0,0.0,0.0,0.0
days of fasting are set by episcopal conference; see canon 1251,0.0,0.0,0.0,0.0
rv again and youll be reported for 3rr. she is a comicbook character. all other forms of media are based on said comicbook character and are not canon.,0.0,0.0,0.0,0.561692
rv again and youll be reported for 3rr. she is a comicbook character. all other forms of media are based on said comicbook character and are not canon.,0.0,0.0,0.890603,0.0
rv the armageddon intro has been confirmed as simply being a mood setter with the events not being canon to the plot.,0.0,0.0,0.0,0.0
rv the armageddon intro has been confirmed as simply being a mood setter with the events not being canon to the plot.,0.0,0.0,0.0,0.731735
repairing link to disambiguation page (canon) using [[wp:pop|popups]]; [[wikipedia:disambiguation pages with links|you can help!]],0.0,0.0,0.0,0.820081
repairing link to disambiguation page (canon) using [[wp:pop|popups]]; [[wikipedia:disambiguation pages with links|you can help!]],0.0,0.0,0.0,0.820081
 yvor winterss alternative canon of elizabethan poetry ,0.0,0.0,0.0,0.560098
just taken his 501st. damn him.,0.651069,0.0,0.0,0.0
just taken his 501st. damn him.,0.0,0.0,0.0,0.0
damn revert some more (mite hav 2 do more later),0.0,0.0,0.0,0.0
vol is not a god[dess] as gods to not walk the earth in eberron. she lives in frostfell and is roughly an 18th level lich wizard. damn im a nerd.,0.0,0.0,0.0,0.0
okay what the damn fuck is this about,0.910859,0.0,0.0,0.0
okay what the damn fuck is this about,0.0,0.0,0.0,0.0
nationality damn!!!!!!,0.717231,0.0,0.0,0.0
 tribute  it was the damn http:// that was missing ...........pull my freakin hair out...,0.0,0.59436,0.0,0.0
huh. dont even like the damn singer and im fighting vandalism. leave im alone.,0.579571,0.0,0.0,0.0
huh. dont even like the damn singer and im fighting vandalism. leave im alone.,0.0,0.0,0.0,0.0
rv theres a footnote damn it,0.514277,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with damn it smith sucks balls,0.675413,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with damn!,0.55614,0.0,0.0,0.0
why the hell is this one damn reference so important? get some more cultural background.,0.814685,0.0,0.0,0.0
why the hell is this one damn reference so important? get some more cultural background.,0.0,0.0,0.0,0.0
damn ands.,0.838969,0.0,0.0,0.0
stop the damn aryan theories.,0.556315,0.0,0.0,0.0
stop the damn aryan theories.,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with god damn it!!!! i told you to fucking leave it alone!!!! so leave it the fuck alone!!!!! fuckers.,0.959373,0.0,0.0,0.0
damn - just put table on the wrong one (see [[gyroelongated pentagonal pyramid]]) ill get back to this,0.529194,0.0,0.0,0.0
damn - just put table on the wrong one (see [[gyroelongated pentagonal pyramid]]) ill get back to this,0.0,0.0,0.0,0.0
more and remove britannica link - no need to link to the competition you can be damn sure they wont return the favour!,0.518937,0.0,0.0,0.0
more and remove britannica link - no need to link to the competition you can be damn sure they wont return the favour!,0.0,0.0,0.579436,0.0
sheesh. if youre going to correct positioning make notes of it in the freaking edit summary. its there for a damn reason. dont post it in the main profile.,0.0,0.0,0.0,0.734164
sheesh. if youre going to correct positioning make notes of it in the freaking edit summary. its there for a damn reason. dont post it in the main profile.,0.0,0.0,0.743836,0.0
damn right,0.811664,0.0,0.0,0.0
removed the hot damn! for gh3 addition because theres no rumor at all and there was no source see additions on aug 23 07.,0.0,0.0,0.543112,0.0
 known employees  damn you mohinder!,0.689928,0.0,0.0,0.0
note to stop copyediting the damn quote,0.723496,0.0,0.0,0.0
 damn you ,0.931034,0.0,0.0,0.0
thats arena and its got an article. damn does this really have to wait for me to return in order to get linked?,0.550632,0.0,0.0,0.0
thats arena and its got an article. damn does this really have to wait for me to return in order to get linked?,0.0,0.0,0.0,0.799093
thats arena and its got an article. damn does this really have to wait for me to return in order to get linked?,0.0,0.0,0.897643,0.0
damn forgot the tag! now done.,0.63101,0.0,0.0,0.0
damn edit conflicts! (was copyedit add categories),0.543096,0.0,0.0,0.0
damn edit conflicts! (was copyedit add categories),0.0,0.0,0.0,0.0
fixed damn yankees wikitag,0.61923,0.0,0.0,0.0
damn good movie is this !! :thumbsup!,0.0,0.0,0.0,0.0
some touchups (though there is not much wrong with this article) remove damn great ugly cleanup box,0.0,0.0,0.0,0.0
damn you colbert!,0.0,0.555502,0.0,0.0
damn,0.931034,0.0,0.0,0.0
damn! fix link,0.558459,0.0,0.0,0.0
removed neutrality tag as it didnt make any damn sense and there was no discussion about it on the talk page,0.548977,0.0,0.0,0.0
removed neutrality tag as it didnt make any damn sense and there was no discussion about it on the talk page,0.0,0.0,0.0,0.0
 external links  cleaned up the linkspam it feels like i did this a few monthes ago and all the bad links came back. damn spammers,0.0,0.673442,0.0,0.0
there--everyone please leave this damn sentence alone now its completely balanced and neutral,0.0,0.559572,0.0,0.0
there--everyone please leave this damn sentence alone now its completely balanced and neutral,0.0,0.0,0.775702,0.0
 trivia  holly god-damn who found that amusing?,0.0,0.0,0.0,0.801827
+ damn small linux,0.61274,0.0,0.0,0.0
damn smarach,0.838969,0.0,0.0,0.0
 nick russell  too damn confusing,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with ban me!!! damn it! ban me!,0.86363,0.0,0.0,0.0
out damn typos,0.679156,0.0,0.0,0.0
rickk you are too god damn lazy to even put a f***ing url,0.0,0.0,0.0,0.0
 the best damn thing (2007) ,0.0,0.0,0.0,0.0
 maria renard (1792-1797)  damn speculation,0.0,0.0,0.0,0.0
damn its not fair. you mods have scripts that tell you which pages have been recently modified. you should instead search random articles like us and scan them manually if any changes are made ;),0.0,0.0,0.0,0.0
undid last revision by [[special:contributions| 24.12.189.115 ]]; of course i oppose nazism...but that vikernes is damn close to nazism actually is not pov - it is fact,0.0,0.0,0.953406,0.0
undid last revision by [[special:contributions| 24.12.189.115 ]]; of course i oppose nazism...but that vikernes is damn close to nazism actually is not pov - it is fact,0.0,0.0,0.0,0.611644
fuck damn cunt bitch hell shit pussy ckln moved to ckln,0.880326,0.0,0.0,0.0
 france  damn theres so much out there,0.685724,0.0,0.0,0.0
 the best damn thing (2006&ndash;present)  mos,0.0,0.0,0.0,0.0
revert [[1991]] - [[kristin]a very confidint person (who despite being 15 cant spell worth a damn),0.0,0.0,0.704642,0.0
never heard of damn the torpedoes! the famous quote is damn the torpedoes full speed ahead! which adds to the article.,0.607902,0.0,0.0,0.0
never heard of damn the torpedoes! the famous quote is damn the torpedoes full speed ahead! which adds to the article.,0.0,0.0,0.818552,0.0
fixing the spelling. ._. damn this name is hard lol,0.0,0.569258,0.0,0.0
damn c&p,0.841638,0.0,0.0,0.0
removed medieval noble title infobox. we are in the 2007 damn!!,0.564105,0.0,0.0,0.0
 god damn queer ,0.670364,0.0,0.0,0.0
 the best damn thing (2007) ,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with damn it 50 cent sold one million copies chamillionaire sold 100000? wtf go buy real copy and support artist who can rap,0.570809,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with damn it 50 cent sold one million copies chamillionaire sold 100000? wtf go buy real copy and support artist who can rap,0.0,0.0,0.752665,0.0
damn you,0.931034,0.0,0.0,0.0
damn i was wrong. fixed it.,0.0,0.534532,0.0,0.0
damn i was wrong. fixed it.,0.519994,0.0,0.0,0.0
 career  soloalbums is not a word damn it.,0.752506,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with omg hurry up with the damn album already. just pick a fing name more ppl are gonna care bout the songs in the album!,0.0,0.691318,0.0,0.0
[[wp:aes|\u2190]]replaced page with omg hurry up with the damn album already. just pick a fing name more ppl are gonna care bout the songs in the album!,0.0,0.0,0.0,0.0
damn you stupid bot,0.597536,0.0,0.0,0.0
 notable residents past and present  only...not. damn it,0.0,0.0,0.0,0.0
damn stupid hijackers,0.889498,0.0,0.0,0.0
finally got the damn caption to show up!,0.0,0.0,0.0,0.0
 list of americans in venona papers  add 40 more names; close to complete; damn i hate to be rushed but found 2 more [[oss]] persons previously overlooked,0.638942,0.0,0.0,0.0
much better... getting to be a damn good article imho...,0.0,0.0,0.0,0.0
damn typos,0.679156,0.0,0.0,0.0
what the flying fuck was that shit doing there god damn it,0.866169,0.0,0.0,0.0
damn straight he is..,0.725173,0.0,0.0,0.0
another damn typo,0.659298,0.0,0.0,0.0
 r  no game such has run like hell. if there is..please fix the damn link!,0.70811,0.0,0.0,0.0
 r  no game such has run like hell. if there is..please fix the damn link!,0.0,0.0,0.0,0.0
damn spammers,0.838969,0.0,0.0,0.0
well i like this version you damn nutcases (;,0.0,0.0,0.0,0.0
damn prideful revision of history,0.0,0.0,0.0,0.0
 external links  look im trying to comprimise. keep the damn links but they dont need a separate section.,0.0,0.585354,0.0,0.0
 external links  look im trying to comprimise. keep the damn links but they dont need a separate section.,0.0,0.0,0.0,0.0
 the best damn thing (2007\u2013present) ,0.0,0.0,0.0,0.0
+image (about damn time!),0.0,0.0,0.0,0.0
 events  stupid spaces damn blast ffs,0.853433,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with pikachu says: fuck yall niggers jinx be god be a god damn racist. fuckin igger ass ho bag piece o shit i rape her with my large yellow dildo. but she black s...,0.720303,0.0,0.0,0.0
deleted sonofabitch damn yinyang! ~~~~,0.728709,0.0,0.0,0.0
watch the frigging all-stars season or buy the damn borneo dvd--its known as survivor: borneo--now stop being an asshole!,0.721716,0.0,0.0,0.0
watch the frigging all-stars season or buy the damn borneo dvd--its known as survivor: borneo--now stop being an asshole!,0.0,0.0,0.0,0.0
damn you people,0.733862,0.0,0.0,0.0
remove the damn nin disambiguation which is just silly.,0.692245,0.0,0.0,0.0
remove the damn nin disambiguation which is just silly.,0.0,0.0,0.0,0.0
damn beaten to requesting the deletion!,0.735953,0.0,0.0,0.0
social contract moved to fuck damn cunt bitch hell shit pussy social contract,0.917799,0.0,0.0,0.0
 the best damn thing (2007 \u2013 present) ,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with the best damn quail hunter in the wolrd!1,0.67758,0.0,0.0,0.0
damn brackets,0.659975,0.0,0.0,0.0
damn made a mistake,0.0,0.603942,0.0,0.0
damn s,0.931034,0.0,0.0,0.0
removed no sources tag (its all from fitzsimons read the damn page),0.61263,0.0,0.0,0.0
removed no sources tag (its all from fitzsimons read the damn page),0.0,0.0,0.80026,0.0
 damn ,0.931034,0.0,0.0,0.0
 damn it locust43!! didnt we alreay works this out! you keep changing anything you dont like! you dont lik esprint get get it! so you have no right to change anything!,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with screw you....and your whole damn site!!!!!!!,0.776277,0.0,0.0,0.0
damn theres alot of piping to do to remove all the of country.,0.576088,0.0,0.0,0.0
the controller section makes no damn sense. its trollish sounding. i rewrote the name section but it might still use canning. the name header could be removed and it all made into a big chunk,0.0,0.0,0.0,0.0
damn,0.931034,0.0,0.0,0.0
 mixed performances  its suit you damn it!!!,0.716092,0.0,0.0,0.0
damn silly article bad layout,0.593115,0.0,0.0,0.0
 the best damn thing (2007\u2013present)  rm excess linebreaks,0.0,0.0,0.0,0.0
its is not the same as its you damn fools,0.718984,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with this is fucking gay and there is no drug abuse u damn hippies like clinton fox,0.695449,0.0,0.0,0.0
 limp bizkit suck big balls its not even nu metal its just a god damn wigger rapping with distorted guitar! ,0.512276,0.0,0.0,0.0
 limp bizkit suck big balls its not even nu metal its just a god damn wigger rapping with distorted guitar! ,0.0,0.0,0.0,0.0
this is crap quality. damn contents dont make sense. clean it the fuck up.,0.841555,0.0,0.0,0.0
this is crap quality. damn contents dont make sense. clean it the fuck up.,0.0,0.0,0.554113,0.0
damn nukka - what was this??!! next to evidence supporting the murder theory!!??,0.525296,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with seasoned wikipedians get frustrated and dissapointed when people edit things. go suck a dick you faggot nerd whores. get a god damn life. -sincerly pwned...,0.913784,0.0,0.0,0.0
(sp) difficulties in correcting this (damn browser) fixed now,0.0,0.0,0.660207,0.0
[[wp:undo|undid]] revision 132940208 by [[special:contributions/jzg|jzg]] ([[user talk:jzg|talk]]) - there are a lot of spoilers here. stop removing the tags damn it,0.0,0.0,0.0,0.0
feel like a damn fool,0.0,0.510611,0.0,0.0
so write a damn disambiguation.,0.782124,0.0,0.0,0.0
damn merge request info template removed because of completed merge,0.0,0.0,0.660207,0.0
damn merge request info template removed because of completed merge,0.0,0.0,0.0,0.901894
the joint colors dont have a damn thing to do with the new engine. if you want to write about baseless ideas like that do it in fanfics.,0.0,0.0,0.0,0.0
 regular season points  woops. damn line break,0.0,0.567638,0.0,0.0
 regular season points  woops. damn line break,0.50815,0.0,0.0,0.0
 regular season points  woops. damn line break,0.0,0.0,0.610222,0.0
 international play  damn wrong tournament,0.568649,0.0,0.0,0.0
damn my fault,0.780932,0.0,0.0,0.0
damn spammers.,0.838969,0.0,0.0,0.0
damn typos,0.679156,0.0,0.0,0.0
for that matter put website references in references section cause hot-damn thats what they are,0.522341,0.0,0.0,0.0
for that matter put website references in references section cause hot-damn thats what they are,0.0,0.0,0.0,0.891685
this is not an article about the damn video game,0.549579,0.0,0.0,0.0
 source  damn,0.667341,0.0,0.0,0.0
fix deleted image. (damn why did i forget to replace that earlier),0.0,0.660789,0.0,0.0
 food fight!!! scandal  no one cares about your damn food fight,0.565778,0.0,0.0,0.0
damn... :),0.0,0.0,0.0,0.0
damn... :),0.522559,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with if u r reading this u have absolutly no life and u need to get off the damn comuter!!!!!!! ps; sal longo is awsome,0.52186,0.0,0.0,0.0
rv why would you want to remove such a damn nice representation?,0.505284,0.0,0.0,0.0
edit his name. bad spelled i am portuguese and barboza is incorrectly spelled it is spelled barbosa. we are not spanish damn it,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]created page with hot is the rumoured third single from the best damn thing by avril lavigne. the song hot has been featured on many album labels leading fans to believe it is the t...,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]created page with hot is the rumoured third single from the best damn thing by avril lavigne. the song hot has been featured on many album labels leading fans to believe it is the t...,0.0,0.0,0.0,0.0
reverted the damn page,0.615299,0.0,0.0,0.0
damn typos,0.679156,0.0,0.0,0.0
 trivia  remove best damn movie ever!!! comment,0.0,0.0,0.0,0.0
 trivia  remove best damn movie ever!!! comment,0.0,0.0,0.751512,0.0
jenna jameson maybe a racist bitch but the paragraph does not belong on wikipedia. someone needs to clean up this damn article,0.665153,0.0,0.0,0.0
jenna jameson maybe a racist bitch but the paragraph does not belong on wikipedia. someone needs to clean up this damn article,0.0,0.0,0.0,0.0
damn it this sec is choked with pics,0.673587,0.0,0.0,0.0
 the best damn thing (2007&ndash;) ,0.0,0.0,0.0,0.0
damn shippers shut up!,0.812414,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with this game is fuckin horseshit it is so bad that it doesnt even need a damn article you asshole fucking nigger fuckers that eat dogshit niggershit assshit and horse...,0.822543,0.0,0.0,0.0
 plot summary  tried cleaning this up but damn! this is badly written.,0.696887,0.0,0.0,0.0
fair use - and damn you db locks!!!,0.729269,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with mariah carey is 36 years old and she is the hottest 36 year old that i have ever seen. i mean damn those titties are big. i would motorboat that shit any day.,0.622743,0.0,0.0,0.0
stop fucking editting it god damn it starting to really piss me off,0.886955,0.0,0.0,0.0
damn slash and burners. will remove a paragraph instead of adding a miniscule caveat.,0.546643,0.0,0.0,0.0
damn reverted to the wrong one.,0.554512,0.0,0.0,0.0
lies! damn you people realize it already!!! stupid idiots!,0.807178,0.0,0.0,0.0
 trivia  this ant gamefaqs...by the way the damn move should be in da damn manual!,0.669658,0.0,0.0,0.0
 the best damn thing (2007) ,0.0,0.0,0.0,0.0
 what is god?  abrakadabra!?!?! .... it didnt work? damn..,0.0,0.660544,0.0,0.0
rv vandalism by the same damn idiot,0.876861,0.0,0.0,0.0
john cunningham vc (english) moved to fuck damn cunt bitch hell shit pussy john cunningham vc (english),0.891051,0.0,0.0,0.0
damn ppl! stop capitalizing!,0.733372,0.0,0.0,0.0
entropy is not fucking chaos quick fucking this page up! read the damn discussion page,0.792953,0.0,0.0,0.0
revert (does the map really have to be that damn big?),0.542189,0.0,0.0,0.0
revert (does the map really have to be that damn big?),0.0,0.0,0.767592,0.0
 johto and beyond  in such cases i have just two things to say: (1) god damn [[wp:civil|civility]]. (2) go to blazes stupid pokeshippers!!,0.555549,0.0,0.0,0.0
 johto and beyond  in such cases i have just two things to say: (1) god damn [[wp:civil|civility]]. (2) go to blazes stupid pokeshippers!!,0.0,0.0,0.0,0.0
 released  damn the attacks,0.0,0.0,0.0,0.0
 released  damn the attacks,0.607897,0.0,0.0,0.0
ill get this right sooner or later; also bai bai also mean double double and damn you edit conflicts!,0.0,0.0,0.0,0.0
 further cautions: lies damn lies and statistics ,0.704864,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with requested this page just says damn! == did you know? == ron simmons became the greatest singer in the wwe when he won wwe idol?,0.0,0.0,0.0,0.0
 players  re-adding johnny mcdonagh hes pretty damn notable for his well-known bodhran solo skills; i believe he won some all-ireland competitions back in the day; tommy hayes too,0.0,0.0,0.0,0.0
 players  re-adding johnny mcdonagh hes pretty damn notable for his well-known bodhran solo skills; i believe he won some all-ireland competitions back in the day; tommy hayes too,0.0,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with this damn store pays minuim wage and is a cheater lier a bastard,0.636124,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with  what a fucking dumbassssssssssssssssssssssssssssssssssss dumbass hes soooooo damn retarded,0.74671,0.0,0.0,0.0
 mccorvey v. hill  damn typos,0.61918,0.0,0.0,0.0
damn,0.931034,0.0,0.0,0.0
damn!,0.931034,0.0,0.0,0.0
pretty damn quick dictdef has been moved to wiktionary,0.0,0.0,0.0,0.0
 external links  damn,0.577622,0.0,0.0,0.0
damn mistake,0.705673,0.0,0.0,0.0
brother was just a damn metaphor. a clone is not a brother,0.614639,0.0,0.0,0.0
brother was just a damn metaphor. a clone is not a brother,0.0,0.0,0.0,0.0
rv again - damn,0.691608,0.0,0.0,0.0
damn! i cant spell! :),0.874154,0.0,0.0,0.0
 congressional service  another move due to the length of the damn infobox,0.523408,0.0,0.0,0.0
this is why every damn high school doesnt deserve its own page. few eyeballs. damn inclusionists.,0.735938,0.0,0.0,0.0
this is why every damn high school doesnt deserve its own page. few eyeballs. damn inclusionists.,0.0,0.0,0.952663,0.0
you guys forgot one. present in about 40 out of 50 states. not international. you may revert. damn good burger though!,0.0,0.0,0.0,0.0
well im be damn didnt sound right to me and last time i remeber he said damn! on its own but im sure he said well ill be damned! too,0.0,0.0,0.880065,0.0
damn kids and their silly grammar,0.685152,0.0,0.0,0.0
damn caps lock,0.749297,0.0,0.0,0.0
damn found another typo!,0.545666,0.0,0.0,0.0
ommitted unnecessary info. this is an encyclopedia damn it. go to celinedion.com to find specifics!!,0.0,0.0,0.0,0.0
damn it! wrong code,0.652593,0.0,0.0,0.0
 judicial ships  damn keyboard,0.523358,0.0,0.0,0.0
damn vandals,0.838969,0.0,0.0,0.0
 early life and career  damn again,0.533921,0.0,0.0,0.0
[[wp:aes|\u2190]]replaced page with i will continue to vandalize until my ip is blocked from doing so. fuck shit ass cock mother fucker bitch damn rape nigger jew jew jew fuck shit shit ass shit coc...,0.837161,0.0,0.0,0.0
damn my computers too slow. teadrinker beat me to the revert.,0.614932,0.0,0.0,0.0
 select quotes  corrected damn you from damn it,0.70678,0.0,0.0,0.0
 select quotes  corrected damn you from damn it,0.0,0.0,0.704642,0.0
damn c&p,0.841638,0.0,0.0,0.0
damn i really dont know how to edit in wikipedia. sorry.,0.0,0.0,0.0,0.0
 yer mom sucked the skin off of my damn cock ,0.795308,0.0,0.0,0.0
fuck damn cunt bitch hell shit pussy journey to the end of the night moved to journey to the end of the night,0.929202,0.0,0.0,0.0
damn changed to dam,0.772821,0.0,0.0,0.0
damn i hate vandals,0.907451,0.0,0.0,0.0
 the best damn thing (2007) ,0.0,0.0,0.0,0.0
damn you,0.931034,0.0,0.0,0.0
rewrote the damn thing - by bonger,0.56917,0.0,0.0,0.0
moved [[damn the torpedoes]] to [[damn the torpedoes]],0.779288,0.0,0.0,0.0
damn perfectionism,0.838969,0.0,0.0,0.0
damn vandals,0.838969,0.0,0.0,0.0
rv: yeah but its far more accurate /rollseyes/ please! someone fix the damn thing!,0.0,0.0,0.890603,0.0
damn nevermind,0.663608,0.0,0.0,0.0
 trivia  too much damn trivia. how the hell is there a link to even more trivia when most of it was copied off of it??,0.620268,0.0,0.0,0.0
 trivia  too much damn trivia. how the hell is there a link to even more trivia when most of it was copied off of it??,0.0,0.0,0.0,0.0
